Country Name,ISO,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20173.93565,20160.72885,20557.46336,21367.20327,22555.69744,23401.87468,23962.49945,25167.51971,26220.26621,27745.80655,29265.08444,30107.65694,30853.20132,32225.05212,33796.9992,36211.0846,37999.0386,39439.80689,40275.9899,38797.38505,40012.3914,41569.44962,42189.19611,44188.73171,45645.5643,44567.86635,45011.64317,46723.31776,47870.72594
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7089.925296,6646.446343,6678.914568,6950.176356,7387.228929,7959.703662,8366.113988,8681.517721,9076.702204,9376.361449,10002.13797,10785.15027,11609.53261,12300.88391,13444.71853,14282.04207,15872.39548,17713.6501,19646.76968,19666.26551,20723.895,22133.68247,22945.92937,23958.63144,24969.64688,26036.30572,27331.9258,29617.86548,31850.75984
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27594.63205,27915.47156,28226.22674,28596.95284,29343.63158,29902.48998,30542.0819,31812.51568,32918.59208,33814.07929,35754.57316,36778.02109,37718.30413,37713.36837,39169.99603,40572.26318,45106.41593,49746.3554,52584.73495,51769.04989,53067.68659,56183.83259,57849.58399,60108.51635,61902.16241,63938.97998,64215.86026,66299.62501,68943.37285
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511.170059,4952.538507,5622.777359,6119.380168,6568.780825,7351.828808,8011.571183,8637.330741,8995.76512,8977.117402,9553.566623,9972.651027,10333.06363,10841.32389,11812.63501,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22874.14942,24248.86076,25283.92827
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.6411788,1100.814276,1270.296992,1463.801748,1671.200917,1872.606651,2074.36167,2281.443841,2464.186352,2668.230229,2936.287745,3227.419438,3553.923793,3958.471977,4449.56192,5081.049041,5867.796877,6847.069623,7615.029533,8352.689933,9303.7337,10355.49571,11328.28171,12361.39797,13446.40239,14454.99797,15513.27304,16782.20776,18210.09398
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132.102478,2127.063956,2093.992179,2065.448911,2054.857974,2173.948327,2309.184016,2361.960494,2432.562754,2438.286671,2378.610507,2376.207237,2321.401906,2283.588006,2324.958116,2387.621825,2443.851599,2498.335894,2553.838041,2596.897477,2618.31892,2495.495125,2747.900523,2970.202338,3211.099745,3444.4498,3665.550486,3921.713336,4199.667628
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.280614,1881.304376,1810.590723,1658.104401,1681.521961,1728.152257,1787.794433,1863.91245,1919.008934,1978.033283,2039.934284,2119.058927,2184.982452,2265.805853,2418.58814,2476.299312,2568.442478,2691.89729,2762.942018,2767.974836,2817.572722,2914.237667,3021.4092,3153.682358,3311.734005,3442.73448,3546.54456,3644.801096,3771.052011
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0163607,821.3396262,723.14019,616.1099446,583.1345357,580.4480108,568.8692387,532.840563,517.997815,491.3203812,455.8150878,443.5747121,450.4504171,469.7704098,498.9798703,528.9747838,555.799958,586.9952654,615.0719745,616.6586194,646.2953953,682.007332,719.914259,768.6449157,829.3626456,867.0883574,868.6133562,888.67728,930.5280974
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3454.245223,3557.620937,3632.298569,3581.36064,3361.735194,3469.89412,3581.491652,3517.61571,3584.683763,3441.354765,3677.147746,3790.96904,3914.89949,3906.125177,4028.312196,4337.194228,4591.995561,4483.926647,4663.011862,4886.383669,5214.502782,5353.804296,5518.967422,5667.595799,6017.671947,6089.839655,5833.995644,5614.398974,5652.078216
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5015.546448,5186.207756,5412.45975,5727.814571,6074.702868,6406.061853,6539.866367,6762.755772,6763.010234,6465.193665,6694.81285,6848.278541,7022.739601,7324.400853,7811.230086,8320.569291,9036.314249,9792.902952,10188.01706,10274.48986,10732.74905,11650.19949,12226.28584,12891.37931,13618.12436,14006.15358,14259.6093,14507.26125,14999.44381
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674.552638,1590.333393,1714.471284,1756.240015,1651.298213,1698.591331,1661.112321,1711.188076,1706.963659,1720.001825,1900.656026,1939.276549,1967.64432,1998.168463,2042.269826,2114.657068,2183.490414,2206.559329,2283.896913,2318.430196,2376.538886,2465.324918,2531.037977,2627.3439,2668.895231,2663.844663,2689.060126,2751.08791,2827.865991
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.722637,1113.026593,1229.084715,1329.302131,1573.617554,1788.021678,1979.947083,2189.715987,2441.680365,2702.89912,3101.002514,3183.819402,3348.349609,3497.853193,3900.335986,4240.265086,4655.64533,5437.709911,5841.058768,5741.218207,5821.739805,6102.412164,6207.361424,6285.969823,6362.960401,6415.612462,6709.109916,7026.984122,7494.714804
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5025.561226,5176.081214,5632.389804,6017.436804,6261.052379,6493.03982,6533.764943,6852.944809,7247.010945,7481.172756,7787.377759,8089.579389,8349.671125,8732.228946,9220.889154,9737.088813,10609.50688,11625.93049,12240.57907,12058.52382,12644.69665,13302.92828,14041.99378,14445.89836,15067.31118,15610.87955,16278.6019,16976.18742,17645.09924
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5912.370227,6194.203417,6471.943796,6775.113469,7050.795672,7338.63979,7664.43827,7986.1588,8252.410201,8655.484352,9125.248918,9469.013933,9931.7895,10718.97022,11413.29092,12131.11068,13331.30094,14069.22384,14473.13532,13980.27352,14271.89745,14631.88454,14994.93722,15365.02472,15596.37457,15846.63439,15537.6712,15753.17622,16269.53069
